Country,Name
Spain,Barcelona International Airport
Spain,Getafe Air Base
Spain,Adolfo Suárez Madrid–Barajas Airport
Spain,Torrejón Airport
Spain,Cuatro Vientos
Venezuela,General José Antonio Anzoategui International Airport
Spain,Barcelona Cruise Terminal
Spain,Atocha
Spain,Chamartin Station
Spain,Aeroport
Spain,Passeig de Gracia
Spain,Sants
Spain,Barajas Station
Spain,Aeropuerto T4 Madrid Metro
Spain,Estacio de Franca
Spain,Placa d Espanya Station
Spain,Cuatro Vientos Airport
Spain,Barcelona-Sants
Spain,Madrid Estacion Sur
